Year,Glob,N.Hemi,S.Hemi,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2003, -0.134, -0.293,  0.026, -0.465, -0.006,  0.028, -1.184, -0.248, -0.369, -0.035,  0.022, -0.126,  0.164,  0.220
2004, -0.181, -0.263, -0.099, -0.391, -0.119, -0.054, -1.303, -0.238, -0.188, -0.072, -0.165, -0.094,  0.026, -0.095
2005, -0.021, -0.066,  0.024, -0.121,  0.024,  0.018, -0.292,  0.123, -0.227,  0.017,  0.032, -0.145,  0.034,  0.478
2006, -0.080, -0.080, -0.080, -0.090, -0.107, -0.034, -0.191, -0.070, -0.070, -0.066, -0.148, -0.090, -0.038,  0.142
2007, -0.063, -0.050, -0.076,  0.011, -0.133, -0.044,  0.022,  0.155, -0.089, -0.142, -0.124, -0.124, -0.111,  0.331
2008, -0.181, -0.223, -0.138, -0.187, -0.250, -0.082, -0.601, -0.021, -0.161, -0.277, -0.223, -0.034, -0.031, -0.328
2009, -0.033, -0.110,  0.044, -0.228,  0.051,  0.050, -0.322, -0.434, -0.059,  0.067,  0.036, -0.004,  0.098,  0.117
2010,  0.007,  0.058, -0.045,  0.021,  0.057, -0.075,  0.259, -0.074,  0.005,  0.114, -0.000, -0.102,  0.091, -0.324
2011, -0.096, -0.127, -0.066, -0.080, -0.263,  0.110,  0.198, -0.125, -0.143, -0.197, -0.329, -0.010,  0.095,  0.497
2012, -0.061, -0.086, -0.035, -0.054, -0.086, -0.034,  0.240, -0.190, -0.061, -0.134, -0.037, -0.056, -0.004, -0.027
2013, -0.031, -0.095,  0.033, -0.112, -0.027,  0.045, -0.443, -0.063, -0.034, -0.069,  0.015,  0.048,  0.007,  0.110
2014,  0.030,  0.042,  0.017,  0.009,  0.045,  0.029, -0.173,  0.098,  0.010,  0.091, -0.001,  0.108, -0.009, -0.130
